model_alias,model_name,eval_f1,trial_number,max_length,learning_rate,weight_decay,warmup_ratio,per_device_batch,grad_accum,epochs,gradient_checkpointing
distilroberta,distilroberta-base,0.761378621,1,320,5.88E-06,0.036636184,0.107531897,8,2,6,FALSE
deberta_small,microsoft/deberta-v3-small,0.758118314,0,256,4.30E-06,0.015599452,0.039874214,8,1,3,TRUE
roberta_base,roberta-base,0.746532379,1,320,5.88E-06,0.036636184,0.107531897,8,2,6,FALSE
deberta_base,microsoft/deberta-v3-base,0.749582799,0,256,4.30E-06,0.015599452,0.039874214,8,1,3,TRUE
